[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jindra\July 2020\H12-1.gcd
Output Date	7/8/2020
Output Time	11:14:05 PM

[File Information]
Type	Data File
Generated	7/7/2020 6:39:12 PM
Generated by	Admin
Modified	7/7/2020 7:12:31 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/7/2020 6:45:23 PM
Type	Unknown
Level	1
Sample Name	H12-1
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	14
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jindra\July 2020\H12-1.gcd
Method File	C:\GCsolution\Data\Pfleger\Jindra\July 2020\20170201_Stabilwax60-trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jindra\July 2020\20171213-2_multifors2.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	82
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.120	1.021	1.166	697548532	356594866	0.02	0.00000	   			0.000	7314.214	0.000	1.126	0.000	0.000
2	1.191	1.166	2.298	136771500	85197881	0.02	0.00000	SV 			0.064	14060.447	0.000	0.000	1.554	0.000
3	1.256	1.240	1.297	2159685	1490581	0.01	0.00000	T  			0.122	15784.320	0.000	1.584	1.618	1.902
4	1.424	1.399	1.514	21807	9549	0.02	0.00000	T  			0.272	8901.458	0.000	1.860	3.360	2.233
5	1.650	1.621	1.679	1053	478	0.02	0.00000	T  			0.474	0.000	0.000	0.000	0.000	1.742
6	1.879	1.799	2.091	31323	7766	0.04	0.00000	T  			0.678	6796.868	0.000	1.339	0.000	1.430
7	2.125	2.091	2.191	3085	1068	0.03	0.00000	TV 			0.898	11238.234	0.000	0.000	2.885	1.325
8	2.741	2.662	2.826	20112	6771	0.03	0.00000	   			1.448	18350.747	0.000	1.374	7.671	1.613
9	2.882	2.831	3.021	13720	3408	0.04	0.00000	   			1.574	11196.348	0.000	1.811	1.488	1.087
10	3.488	3.441	3.559	1235	417	0.03	0.00000	   			2.115	29684.139	0.000	1.209	6.393	1.344
11	5.090	5.011	5.198	25057	5015	0.05	0.00000	   			3.546	22112.332	0.000	1.219	14.744	1.676
12	6.662	6.594	6.838	1755	342	0.05	0.00000	   			4.950	51800.095	0.000	1.765	12.414	1.396
13	7.069	6.991	7.178	1430	208	0.07	0.00000	 V 			5.313	19272.560	0.000	0.000	2.542	1.073
